"","group","piR.hsa.100956","piR.hsa.1288731","piR.hsa.141155","piR.hsa.2499988","piR.hsa.2851799"
"TCGA.05.5425.01A.02T.1627.13","tumor",5.33504078013928,2.9059823009279,1.84438335189137,3.2879306009464,0.99587129181998
"TCGA.49.6743.11A.01H.2169.13","normal",6.58066995565791,0.968044012966904,0.497082596339362,1.69838825887599,-0.456270078510128
"TCGA.56.7580.01A.11H.2044.13","tumor",6.21828156557079,2.6438651361568,2.51264047553109,2.62729912805489,2.1597495655063
"TCGA.91.6829.01A.21H.1857.13","tumor",5.32297885456065,1.90849589386187,0.92073808921877,1.03440744359415,0.239580605976519
"TCGA.49.6744.01A.11H.1857.13","tumor",4.93775466080099,1.88617935015189,0.551088010785017,1.27656685471659,0.159701415590685
"TCGA.62.8394.01A.11H.2325.13","tumor",5.42211867750961,2.2540843497417,1.95247326391457,1.3919538304866,0.700977952275622
"TCGA.22.5473.01A.01T.1634.13","tumor",6.19175668274321,3.24439211758357,3.23257677655139,3.95918696650369,2.94208261746147
"SRR14634288","normal",6.36546017217853,2.22484112377624,0.81121343243001,0.908051746627446,1.14136748424025
"TCGA.55.8302.01A.11H.2325.13","tumor",5.46817093939877,2.66961106956959,1.76954689006714,2.23833345872815,1.51186147822004
"TCGA.38.6178.01A.11H.1754.13","tumor",6.3505998192596,1.78687858818484,0.784378797298048,1.32841333131281,0.301591469340338
"TCGA.J2.8192.01A.11H.2240.13","tumor",5.29993506568255,2.92341867379335,1.71974395819683,1.73774084167295,1.99753274074216
"TCGA.38.4625.01A.01T.1207.13","tumor",5.47287844793546,3.52506672663029,2.25958085242386,3.86684070478341,1.3260830402989
"TCGA.34.A5IX.01A.12H.A27R.13","tumor",6.00249174481626,2.35198987843347,2.56344486249133,2.23974812514979,2.29436277433633
"SRR14634360","tumor",5.81572653414628,3.39655751397895,1.81751018227408,2.0813990763414,1.19289162894473
"SRR6757450","tumor",5.60145064685774,2.87782850505584,2.32643467227796,2.46525995256229,1.38495990724101
"TCGA.39.5035.01A.01T.1442.13","tumor",5.2823257007031,3.17981898919246,2.31106179824787,3.4538438514214,1.93794919947102
"TCGA.85.7710.01A.11H.2124.13","tumor",6.45665527023722,3.46003573411875,3.35360126299755,3.57800675918407,2.7311460288404
"TCGA.85.8072.01A.31H.2246.13","tumor",6.30949387354647,2.64888009395769,2.06722876770248,2.32643980169257,1.63005470524128
"TCGA.78.7540.11A.01H.2065.13","normal",6.59396989988733,1.01223477598347,0.586588661264008,0.294786534244796,-0.439858620846945
"TCGA.95.7947.01A.11H.2186.13","tumor",5.57538544595008,3.37646998770319,1.57887123089305,2.15808883871866,0.128318362805013
"TCGA.O2.A52V.01A.31H.A263.13","tumor",5.54328313958661,2.66976435546327,1.80282813233977,1.63850311469133,1.0901123157475
"TCGA.64.5774.01A.01T.1627.13","tumor",4.45831118526612,2.13168909981681,1.60043668015741,2.05288306885229,0.792668878145159
"SRR6757454","tumor",5.7194361411629,2.94133375315284,1.77460669605451,2.2523962039697,1.34575294166164
"TCGA.50.6594.01A.11H.1754.13","tumor",5.00808986181841,3.78880556562785,1.86363409621338,3.02141455936733,0.832476002563423
"TCGA.44.2668.01A.01T.0947.13","tumor",5.75110766788625,4.40156863992461,2.28167244272179,2.17448367728514,1.55655866426941
"SRR6757395","normal",6.74984735790868,3.18470328351089,1.77863792763279,2.30488553210419,1.35109947028983
"TCGA.90.7767.01A.11H.2124.13","tumor",5.19398747274873,2.50404814995901,1.92032732751785,1.61442488440305,1.41545498213436
"TCGA.56.7582.11A.01H.2044.13","normal",6.40732742503443,1.6137803044823,0.925311582850903,1.30262970954459,-0.373689188030763
"TCGA.50.7109.11A.01H.2038.13","normal",6.42772388816228,1.29600435510169,1.03099712656942,1.24962940975401,2.02738359021519
"SRR6757457","normal",6.17233327770441,3.50150722864726,1.82761611899603,2.36541701444288,1.36289159981232
"TCGA.05.4422.01A.01T.1207.13","tumor",5.97961015958067,3.68378265292204,3.25478437108528,3.70852720719085,2.35879245022397
"SRR14634348","tumor",5.69011255442057,3.34528770910533,3.69580398618237,3.96042773746391,2.14737563708958
"TCGA.33.4587.01A.11H.2124.13","tumor",6.3844841615399,2.61797368821071,2.35716074295839,1.82812482675881,1.34516868271335
"SRR14634286","normal",5.91794090804293,2.58731847770748,2.49145997187162,3.13858878871091,1.17257007061173
"TCGA.77.7138.01A.41H.2044.13","tumor",6.51910938184911,2.80041441374882,2.72994915410322,2.78141427979597,2.02794030484213
"TCGA.33.AASD.01A.11H.A404.13","tumor",5.85420874599649,2.68971277478011,1.73697082904289,1.50878466591507,1.00183188440415
"TCGA.93.7348.11A.01H.2038.13","normal",6.67355654050671,1.02192211956815,0.385317183074835,0.503567639284356,-0.553671358844156
"SRR14634365","tumor",5.84522839656377,3.69633988069587,2.39878263974126,1.6130075551036,1.21617698964935
"TCGA.63.A5MV.01A.21H.A26V.13","tumor",5.93721571169161,2.89631130680168,2.28803386913485,2.35293988007275,1.73132193677325
"SRR14634335","tumor",5.47827485289096,3.17655841508877,2.71590104545769,3.75104567549005,2.34237632589233
"TCGA.22.5472.01A.01T.1634.13","tumor",5.82487937238985,4.32543239118338,2.20076479660326,3.99776631503049,1.62046987012101
"SRR6757442","tumor",3.75900891865692,1.94280900296759,2.44842460595355,2.29687487944422,1.35439396289432
"TCGA.85.A5B5.01A.21H.A26V.13","tumor",5.67777714443721,2.42330273334117,1.97595045173304,2.16094861533546,1.34933239269619
"TCGA.77.A5G7.01B.11H.A27R.13","tumor",5.11782488155169,2.83405438647456,2.50667396831967,3.38039636698995,2.42414909834972
